frameTime,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze direction x,rightGaze direction y,rightGaze direction z,eyePos3D x,eyePos3D y,eyePos3D z
"0","0.016","0.025","1","-0.04","0.018","0.999","-2.189","3.866","181.334"
"0.01976776","0.016","0.025","1","-0.04","0.018","0.999","-1.576","2.799","130.97"
"0.02908325","0.016","0.025","1","-0.04","0.018","0.999","-2.438","4.385","203.834"
"0.04414368","0.017","0.025","1","-0.04","0.018","0.999","-1.945","3.569","164.391"
"0.05706024","0.017","0.025","1","-0.04","0.018","0.999","-1.73","3.198","146.735"
"0.07145691","0.017","0.025","1","-0.04","0.019","0.999","-2.192","4.111","187.492"
"0.08622742","0.017","0.025","1","-0.04","0.019","0.999","-1.636","3.087","140.422"
"0.1014633","0.017","0.025","1","-0.04","0.019","0.999","-2.064","3.911","177.578"
"0.1147308","0.017","0.025","1","-0.04","0.02","0.999","-2.296","4.463","199.512"
"0.1287308","0.017","0.025","1","-0.039","0.022","0.999","-2.225","4.419","194.188"
"0.1428146","0.017","0.025","1","-0.039","0.022","0.999","-1.714","3.42","149.705"
"0.1574402","0.017","0.025","1","-0.039","0.022","0.999","-1.623","3.267","142.126"
"0.1732941","0.017","0.025","1","-0.039","0.023","0.999","-2.215","4.496","194.375"
"0.1861725","0.017","0.025","1","-0.039","0.023","0.999","-1.917","3.921","167.247"
"0.1998978","0.017","0.025","1","-0.039","0.023","0.999","0","0","0"
"0.2148285","0.017","0.025","1","-0.039","0.023","0.999","0","0","0"
"0.2290192","0.017","0.025","1","-0.039","0.023","0.999","0","0","0"
"0.242981","0.024","0.022","0.999","-0.024","0.027","0.999","-0.008","6.759","274.91"
"0.2570496","0.024","0.022","0.999","-0.024","0.027","0.999","-0.016","5.483","223.134"
"0.2714539","0.023","0.023","0.999","-0.024","0.026","0.999","-0.118","4.81","196.336"
"0.286087","0.022","0.023","0.999","-0.025","0.027","0.999","-0.252","4.972","200.208"
"0.3007889","0.021","0.024","0.999","-0.025","0.027","0.999","-0.521","7.611","298.858"
"0.3149261","0.021","0.024","0.999","-0.025","0.028","0.999","-0.394","5.208","201.866"
"0.3286896","0.021","0.024","0.999","-0.025","0.028","0.999","-0.355","4.88","184.816"
"0.3427048","0.021","0.024","0.999","-0.025","0.028","0.999","0","0","0"
"0.3595352","0.021","0.024","0.999","-0.025","0.028","0.999","0","0","0"
"0.3732147","0.021","0.024","0.999","-0.025","0.028","0.999","0","0","0"
"0.3872833","0.143","0.072","0.987","0.122","0.072","0.99","21.866","11.887","163.21"
"0.4005051","0.146","0.074","0.987","0.13","0.077","0.989","23.884","13.153","171.702"
"0.4149628","0.158","0.088","0.984","0.145","0.086","0.986","24.633","14.114","160.613"
"0.4285736","0.162","0.115","0.98","0.16","0.107","0.981","24.849","17.068","151.339"
"0.444313","0.162","0.115","0.98","0.16","0.107","0.981","0","0","0"
"0.4569168","0.162","0.115","0.98","0.16","0.107","0.981","0","0","0"
"0.4716644","0.162","0.115","0.98","0.16","0.107","0.981","43.538","31.532","272.398"
"0.4860992","0.152","0.121","0.981","0.161","0.105","0.981","29.51","21.372","184.621"
"0.5020523","0.153","0.121","0.981","0.161","0.106","0.981","29.519","21.375","184.619"
"0.5141907","0.153","0.121","0.981","0.162","0.107","0.981","41.391","29.966","257.95"
"0.5284805","0.154","0.121","0.981","0.172","0.119","0.978","74.547","54.484","454.215"
"0.542572","0.154","0.121","0.981","0.172","0.125","0.977","75.118","55.828","453.958"
"0.5569992","0.154","0.121","0.981","0.173","0.124","0.977","75.462","56.02","453.877"
"0.571228","0.155","0.121","0.98","0.172","0.124","0.977","75.496","56.081","453.864"
"0.5871658","0.156","0.121","0.98","0.172","0.124","0.977","75.599","56.137","453.84"
"0.6000748","0.157","0.121","0.98","0.172","0.124","0.977","75.726","56.292","453.799"
"0.6190567","0.157","0.121","0.98","0.172","0.124","0.977","40.69","30.198","243.687"
"0.6287384","0.158","0.119","0.98","0.172","0.125","0.977","40.704","30.194","243.685"
"0.6436081","0.158","0.118","0.98","0.172","0.125","0.977","86.515","64.03","517.266"
"0.6570053","0.165","0.117","0.979","0.173","0.125","0.977","25.054","18.057","146.043"
"0.6712341","0.165","0.117","0.979","0.173","0.125","0.977","0","0","0"
"0.6871414","0.165","0.117","0.979","0.173","0.125","0.977","0","0","0"
"0.7006912","0.165","0.117","0.979","0.173","0.125","0.977","0","0","0"
"0.7142944","0.165","0.117","0.979","0.173","0.125","0.977","0","0","0"
"0.7290192","0.287","0.125","0.95","0.257","0.094","0.962","49.053","19.682","172.3"
"0.742836","0.287","0.125","0.95","0.257","0.094","0.962","37.65","15.105","132.241"
"0.7592087","0.287","0.125","0.95","0.257","0.094","0.962","38.65","15.502","135.743"
