frameTime,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze direction x,rightGaze direction y,rightGaze direction z,eyePos3D x,eyePos3D y,eyePos3D z
"0","-0.041","0.073","0.997","-0.094","0.044","0.995","-3.957","3.408","58.654"
"0.02719116","-0.04","0.072","0.997","-0.094","0.043","0.995","-3.957","3.408","58.654"
"0.03569794","-0.04","0.072","0.997","-0.094","0.043","0.995","-4.056","3.49","60.102"
"0.04329681","-0.04","0.072","0.997","-0.094","0.043","0.995","-3.025","2.603","44.828"
"0.05729675","-0.039","0.073","0.997","-0.095","0.043","0.995","-4.479","3.874","66.472"
"0.07149506","-0.038","0.074","0.997","-0.095","0.043","0.995","-4.206","3.658","62.523"
"0.09142303","-0.038","0.074","0.997","-0.095","0.043","0.995","-5.697","4.951","84.654"
"0.1007309","-0.038","0.074","0.997","-0.095","0.043","0.994","-4.787","4.154","71.053"
"0.1169739","-0.038","0.074","0.997","-0.096","0.043","0.994","-4.387","3.803","65.072"
"0.1285553","-0.038","0.074","0.997","-0.096","0.043","0.994","-4.545","3.947","67.429"
"0.14254","-0.037","0.075","0.997","-0.096","0.043","0.994","-5.054","4.41","75.056"
"0.1569824","-0.037","0.075","0.996","-0.096","0.043","0.994","-3.438","3.009","51.122"
"0.1716614","-0.036","0.075","0.997","-0.096","0.043","0.994","-4.814","4.216","71.604"
"0.187561","-0.036","0.075","0.997","-0.097","0.044","0.994","-4.814","4.216","71.604"
"0.2004471","-0.035","0.075","0.997","-0.097","0.044","0.994","-4.176","3.659","62.121"
"0.2230148","-0.035","0.075","0.997","-0.098","0.044","0.994","-5.124","4.485","76.089"
"0.2355194","-0.035","0.075","0.997","-0.098","0.044","0.994","-5.124","4.485","76.089"
"0.242569","-0.036","0.075","0.997","-0.098","0.044","0.994","-4.749","4.161","70.182"
"0.257103","-0.036","0.075","0.997","-0.098","0.044","0.994","-5.279","4.677","78.261"
"0.2749863","-0.036","0.076","0.996","-0.098","0.045","0.994","-4.992","4.371","73.244"
"0.2868347","-0.037","0.074","0.997","-0.098","0.045","0.994","-5.55","4.742","80.659"
"0.3004837","-0.038","0.074","0.997","-0.098","0.044","0.994","-5.461","4.652","79.022"
"0.3142166","-0.04","0.072","0.997","-0.099","0.046","0.994","-5.461","4.652","79.022"
"0.328476","-0.041","0.071","0.997","-0.098","0.046","0.994","-6.422","5.454","92.771"
"0.3428879","-0.043","0.069","0.997","-0.098","0.046","0.994","-6.325","5.354","91.244"
"0.3591995","-0.044","0.068","0.997","-0.09","0.045","0.995","-7.348","6.177","107.379"
"0.3816376","0.055","-0.021","0.998","-0.034","0.003","0.999","0.365","-0.239","55.131"
"0.3943634","0.054","-0.012","0.998","0.016","-0.001","1","3.01","-0.419","106.951"
"0.4011612","0.052","-0.01","0.999","0.021","-0.003","1","4.043","-0.576","132.254"
"0.4138107","0.052","-0.01","0.999","0.021","-0.003","1","4.068","-0.405","121.707"
"0.4315414","0.052","-0.007","0.999","0.023","-0.003","1","5.072","-0.448","149.722"
"0.4426727","0.052","-0.006","0.999","0.024","-0.002","1","4.628","-0.36","134.852"
"0.4569016","0.051","-0.005","0.999","0.025","-0.002","1","4.518","-0.31","130.117"
"0.4716034","0.05","-0.004","0.999","0.027","-0.003","1","4.794","-0.305","134.399"
"0.493248","0.05","-0.003","0.999","0.031","-0.005","0.999","5.956","-0.441","158.74"
"0.5048294","0.05","-0.003","0.999","0.033","-0.006","0.999","6.206","-0.538","158.775"
"0.5139771","0.05","-0.003","0.999","0.033","-0.006","0.999","0","0","0"
"0.527298","0.178","-0.021","0.984","0.153","-0.002","0.988","16.702","-1.179","99.424"
"0.5416718","0.178","-0.021","0.984","0.153","-0.002","0.988","0","0","0"
"0.5569611","0.178","-0.021","0.984","0.153","-0.002","0.988","0","0","0"
"0.574173","0.178","-0.021","0.984","0.153","-0.002","0.988","19.32","-0.558","112.271"
"0.5855331","0.183","-0.013","0.983","0.156","0.003","0.988","18.362","-0.528","106.675"
"0.6138916","0.183","-0.014","0.983","0.156","0.004","0.988","18.841","-0.544","109.423"
"0.6246567","0.183","-0.014","0.983","0.156","0.004","0.988","18.841","-0.544","109.423"
"0.6313019","0.183","-0.014","0.983","0.156","0.004","0.988","21.065","-0.614","122.303"
"0.6444778","0.183","-0.015","0.983","0.157","0.004","0.988","29.584","-0.868","171.676"
"0.6570129","0.183","-0.015","0.983","0.157","0.004","0.988","17.788","-0.522","103.137"
"0.6740799","0.183","-0.015","0.983","0.158","0.005","0.987","22.156","-0.648","128.336"
"0.6867981","0.183","-0.016","0.983","0.158","0.005","0.987","19.469","-0.568","112.742"
"0.7005692","0.183","-0.016","0.983","0.158","0.006","0.987","8.52","0.728","135.938"
"0.714447","0.048","0.009","0.999","0.034","0.003","0.999","4.942","0.73","117.951"
"0.7285385","0.002","0.013","1","0.013","0.01","1","0.864","1.536","119.459"
"0.7428665","0.01","0.013","1","0.008","0.01","1","0.871","1.453","112.659"
"0.7570724","0.011","0.013","1","0.007","0.011","1","0.979","1.619","124.944"
"0.7820282","0.012","0.013","1","0.007","0.01","1","0.942","1.488","116.626"
"0.7993698","0.012","0.014","1","0.006","0.01","1","0.985","1.551","121.585"
"0.8112259","0.013","0.014","1","0.006","0.01","1","1.142","1.787","139.857"
"0.8178329","0.013","0.014","1","0.006","0.01","1","1.124","1.749","136.496"
"0.8282623","0.014","0.014","1","0.005","0.01","1","0.892","1.393","108.533"
"0.8431473","0.014","0.014","1","0.004","0.011","1","0.9","1.435","111.676"
"0.8603745","0.014","0.014","1","0.001","0.01","1","0.967","1.586","123.728"
"0.8723755","0.014","0.014","1","0","0.01","1","1.525","2.575","202.201"
"0.8894196","0.014","0.015","1","0","0.01","1","0.733","1.287","100.158"
"0.9018707","0.014","0.015","1","0","0.013","1","1.018","1.842","130.11"
"0.9142151","0.014","0.015","1","0.002","0.015","1","1.13","2.054","139.171"
"0.9284439","0.015","0.015","1","0.002","0.014","1","1.122","1.969","135.187"
"0.9425278","0.015","0.015","1","0.002","0.013","1","0","0","0"
"0.9571304","0.015","0.015","1","0.002","0.013","1","1.718","1.427","136.426"
"0.9757233","0.02","0.014","1","0.006","0.006","1","3.03","2.513","109.874"
"0.9877625","0.025","0.021","0.999","0.03","0.025","0.999","3.03","2.513","109.874"
"1.004402","0.038","0.057","0.998","0.025","0.044","0.999","3.352","5.316","104.924"
"1.016121","0.038","0.057","0.998","0.025","0.044","0.999","0","0","0"
"1.033051","0.046","0.053","0.998","0.032","0.042","0.999","4.446","5.431","114.106"
"1.043182","0.046","0.053","0.998","0.035","0.042","0.999","5.344","6.389","133.564"
"1.057007","0.046","0.053","0.998","0.04","0.043","0.998","5.397","6.21","128.614"
"1.071526","0.046","0.053","0.998","0.044","0.041","0.998","5.039","5.484","114.76"
"1.085762","0.046","0.053","0.998","0.044","0.041","0.998","0","0","0"
"1.106506","0.046","0.053","0.998","0.044","0.041","0.998","7.711","5.296","130.703"
"1.115509","0.059","0.053","0.997","0.059","0.028","0.998","7.711","5.296","130.703"
"1.128494","0.059","0.053","0.997","0.059","0.028","0.998","9.236","6.358","156.212"
"1.14254","0.059","0.053","0.997","0.06","0.029","0.998","7.638","5.26","128.39"
"1.165123","0.06","0.053","0.997","0.06","0.03","0.998","7.551","5.18","125.822"
"1.179436","0.061","0.052","0.997","0.06","0.031","0.998","8.217","5.641","136.735"
"1.18985","0.058","0.051","0.997","0.019","0.056","0.998","6.472","6.853","143.037"
"1.199738","-0.014","0.045","0.999","-0.004","0.049","0.999","-0.844","4.721","105.166"
"1.219337","-0.01","0.047","0.999","-0.012","0.039","0.999","-1.293","7.083","165.202"
"1.229561","-0.009","0.046","0.999","-0.008","0.043","0.999","-1.572","4.966","114.578"
"1.241898","-0.011","0.043","0.999","-0.019","0.045","0.999","-1.949","5.916","138.856"
"1.256836","-0.011","0.042","0.999","-0.019","0.044","0.999","-1.716","5.041","119.273"
"1.271858","-0.012","0.041","0.999","-0.02","0.042","0.999","-1.826","5.081","122.483"
"1.298347","-0.012","0.041","0.999","-0.02","0.041","0.999","-1.808","4.693","116.409"
"1.309647","-0.012","0.041","0.999","-0.021","0.04","0.999","-1.808","4.693","116.409"
"1.316963","-0.012","0.04","0.999","-0.021","0.04","0.999","-2.336","5.883","147.902"
"1.328255","-0.013","0.039","0.999","-0.021","0.039","0.999","-2.489","5.973","153.097"
